Date,Symbol,Open,High,Low,Close,Volume ETH,Volume TUSD,tradecount
6/1/2022,ETHTUSD,1941.73,1967.8,1765.92,1814.48,647.8749,1203711.839,1972
5/31/2022,ETHTUSD,1995.29,2008.37,1926.88,1939.61,768.6312,1512036.025,2281
5/30/2022,ETHTUSD,1811.39,2008.39,1800.46,1998.26,528.8577,1016932.515,1764
5/29/2022,ETHTUSD,1790.89,1823.38,1759.42,1811.74,321.8373,577977.6813,1235
5/28/2022,ETHTUSD,1725.36,1806.62,1720.95,1791.62,470.7002,830525.1263,1627
5/27/2022,ETHTUSD,1792.43,1818.69,1705,1723.33,1695.8187,2983668.162,3303
5/26/2022,ETHTUSD,1940.74,1963.28,1732.08,1790.79,838.1437,1545625.252,2327
5/25/2022,ETHTUSD,1975.41,2017.4,1933.18,1941.46,621.9392,1225947.426,1881
5/24/2022,ETHTUSD,1971.72,1990.4,1912.17,1977.05,458.8051,902068.661,1651
5/23/2022,ETHTUSD,2038.88,2084.27,1957.62,1972.31,633.1914,1280789.546,1908
5/22/2022,ETHTUSD,1973.8,2051.3,1964.45,2040.58,335.8469,674320.7707,1329
5/21/2022,ETHTUSD,1958.06,1985.52,1936.54,1972.86,236.1138,464606.3486,1218
5/20/2022,ETHTUSD,2015.52,2060,1920.66,1957.39,970.6782,1930699.07,2350
5/19/2022,ETHTUSD,1916.12,2035.81,1899.74,2016.76,1096.2904,2162390.077,2675
5/18/2022,ETHTUSD,2088.46,2108.02,1905.71,1911.54,456.11,903387.2946,2171
5/17/2022,ETHTUSD,2021.06,2117.62,2006.27,2087.67,404.3089,835487.7273,2099
5/16/2022,ETHTUSD,2141.86,2141.86,1979.5,2018.19,412.6907,838444.6991,2258
5/15/2022,ETHTUSD,2051.03,2159,1994.32,2142.85,126.5212,263425.1267,1288
5/14/2022,ETHTUSD,2008.94,2062.79,1949.36,2052.42,213.9511,430658.4848,1740
5/13/2022,ETHTUSD,1954.03,2142.92,1935.67,2006.03,504.1868,1043432.144,2771
5/12/2022,ETHTUSD,2083.16,2170.91,1671.4,1956.26,644.25194,1235495.498,3634
5/11/2022,ETHTUSD,2341.28,2453.59,2000,2071.33,728.6923,1676281.829,3488
5/10/2022,ETHTUSD,2239.04,2455.48,2199.98,2344.55,875.1543,2058910.693,3395
5/9/2022,ETHTUSD,2520.82,2529.71,2224.81,2234.35,466.2942,1104841.122,2916
5/8/2022,ETHTUSD,2634.87,2638.85,2489.4,2525.05,228.0608,581162.71,1724
5/7/2022,ETHTUSD,2694.41,2702.09,2587.22,2635.64,223.2344,595949.1333,1372
5/6/2022,ETHTUSD,2747.94,2755.93,2631.49,2691.94,396.0241,1067018.767,2385
5/5/2022,ETHTUSD,2940.58,2952.38,2694.31,2746.08,344.0147,964431.723,1945
5/4/2022,ETHTUSD,2780.51,2964.85,2771.22,2941.26,333.0682,955103.1303,1946
5/3/2022,ETHTUSD,2856.47,2860.86,2758.67,2782.82,325.7417,914550.8096,1835
5/2/2022,ETHTUSD,2823.02,2879,2779.64,2855.79,259.2531,732378.3213,1741
5/1/2022,ETHTUSD,2727.71,2847.54,2721.39,2825.8,225.0859,626788.1703,1390
4/30/2022,ETHTUSD,2817.32,2839.02,2718.23,2726.77,124.3006,347214.4831,1136
4/29/2022,ETHTUSD,2937.81,2946.53,2771.71,2815.33,184.7873,528342.0174,1589
4/28/2022,ETHTUSD,2881.45,2978.04,2851.06,2939.71,210.4674,613850.3983,1706
4/27/2022,ETHTUSD,2810.46,2917.08,2794.46,2888.79,277.6603,795621.5295,1882
4/26/2022,ETHTUSD,3007.85,3030.74,2766.01,2809.45,348.7352,1011596.987,1861
4/25/2022,ETHTUSD,2922.86,3025.06,2798.63,3006.25,316.985,921162.7747,1923
4/24/2022,ETHTUSD,2933.74,2965.5,2914.54,2920.77,71.0139,208875.9576,929
4/23/2022,ETHTUSD,2959.9,2977.98,2917.66,2933.07,67.5583,199386.5059,762
4/22/2022,ETHTUSD,2983.3,3032.03,2932.68,2963.39,277.763,829047.2914,1883
